@relation '179211L2_2-weka.filters.unsupervised.attribute.Reorder-R2-10,1'

@attribute kwota_kredytu numeric
@attribute wiek numeric
@attribute plec {kobieta,mezczyzna}
@attribute rodzaj_zrodla_dochodu {13,11,16,12,98,99,17,15}
@attribute miesieczny_dochod_netto numeric
@attribute ktore_rolowanie numeric
@attribute okres_w_jakim_pobieral_dochod numeric
@attribute okres_w_jakim_bedzie_pobieral_dochod numeric
@attribute opoznienie_splaty numeric
@attribute status_pozyczki {splacona_cz,splacona,windykacja_sp,odmowa,windykacja}

@data
600,55,kobieta,11,2800,0,63.934292,48,5,splacona_cz
500,45,mezczyzna,11,2000,0,8.459959,48,408,windykacja
1000,48,kobieta,11,5800,8,58.459959,48,3,splacona_cz
500,61,kobieta,13,1000,8,72.032854,48,0,splacona_cz
500,76,kobieta,13,1248,2,254.492813,48,0,splacona_cz
200,58,mezczyzna,13,12220,0,75.492813,48,4,splacona
537.15,63,kobieta,13,962,4,69.492813,48,3,splacona_cz
300,34,kobieta,11,1380,0,30.492813,48,0,splacona_cz
300,61,kobieta,13,1087.72,0,5.229979,48,0,splacona
441.54,36,kobieta,98,4000,8,22.770021,48,4,splacona_cz
200,64,mezczyzna,13,1287.66,7,100.492813,48,10,splacona
200,57,kobieta,15,678,0,144.492813,48,0,splacona_cz
1000,28,mezczyzna,12,1148,0,10.164271,23.657084,0,odmowa
200,50,kobieta,12,976,0,1.459959,2.952772,0,splacona
300,57,kobieta,11,1800,1,115.540041,48,0,splacona_cz
500,65,mezczyzna,11,2600,0,139.492813,48,2,splacona_cz
300,60,mezczyzna,11,2000,3,73.540041,48,4,splacona_cz
200,28,mezczyzna,12,1400,3,4.901437,5.37577,0,splacona_cz
300,76,kobieta,13,821.35,0,250.525667,48,0,splacona_cz
700,68,kobieta,13,1431,1,251.197125,48,0,splacona_cz
400,54,mezczyzna,11,4000,9,14.492813,48,18,splacona
200,62,kobieta,13,975,8,31.525667,48,14,splacona_cz
200,32,mezczyzna,98,2000,0,18.427105,48,0,splacona
600,44,kobieta,11,1443,3,37.540041,48,1,splacona_cz
400,57,mezczyzna,11,1842.86,7,11.737166,48,0,splacona_cz
700,52,mezczyzna,11,2505.34,0,12.525667,48,0,odmowa
300,60,kobieta,13,1098,0,60.525667,48,0,splacona_cz
600,63,kobieta,13,714,2,226.525667,48,0,splacona_cz
600,40,kobieta,11,1800,1,55.704312,48,9,splacona
430,39,mezczyzna,11,2470,5,70.394251,48,7,splacona_cz
450,69,kobieta,13,1019,1,136.671458,48,0,splacona_cz
200,58,mezczyzna,11,1800,2,164.638604,48,0,splacona
300,59,mezczyzna,12,918,0,46.868583,86.328542,0,odmowa
300,25,mezczyzna,12,1440,0,7.427105,23.967146,0,splacona
300,38,kobieta,12,1382,2,25.525667,35.985626,0,splacona_cz
300,62,kobieta,13,992.96,0,16.065708,48,0,splacona_cz
1000,58,mezczyzna,13,3600,3,90.558522,48,0,splacona
600,33,mezczyzna,11,2200,0,132.558522,48,4,splacona_cz
387.11,75,kobieta,13,1373,1,114.62423,48,0,splacona_cz
280.88,63,mezczyzna,13,2000,2,38.62423,48,0,splacona_cz
400,45,mezczyzna,11,3300,2,240.934292,48,0,splacona_cz
200,73,kobieta,13,785,5,68.62423,48,0,splacona_cz
650,60,mezczyzna,13,3900,1,118.525667,48,2,splacona
311.65,36,kobieta,11,2709.34,9,185.62423,48,0,splacona
200,50,mezczyzna,12,822,0,48.62423,48,0,splacona_cz
400,50,kobieta,11,1764,2,68.525667,48,0,splacona_cz
300,69,mezczyzna,13,1689.98,0,85.62423,48,0,splacona
500,28,kobieta,12,1082,0,2.459959,7.098563,0,odmowa
500,59,mezczyzna,16,1770,9,93.62423,48,0,splacona_cz
290,62,kobieta,13,1280,9,21.62423,48,0,splacona
500,63,kobieta,13,1474.55,1,69.62423,48,21,splacona
300,59,kobieta,13,1240,1,74.328542,48,0,splacona_cz
500,61,kobieta,13,1800,0,73.62423,48,0,splacona_cz
240,57,kobieta,11,1172.2,8,41.62423,48,3,splacona_cz
500,39,mezczyzna,13,1648,0,17.62423,48,403,windykacja
643.05,52,kobieta,11,3200,8,58.131417,48,1,splacona_cz
585.7,62,kobieta,13,1050,9,143.62423,48,0,splacona
200,26,mezczyzna,12,1135,0,9.967146,23.967146,0,odmowa
700,60,mezczyzna,11,2800,1,100.065708,48,0,splacona_cz
1000,58,mezczyzna,12,2500,7,8.802875,10.131417,0,splacona_cz
200,78,kobieta,13,1100,0,252.657084,48,5,splacona_cz
836,62,kobieta,13,1362,8,60.62423,48,2,splacona_cz
400,61,kobieta,13,1208,0,84.657084,48,0,splacona_cz
400,68,kobieta,13,1094,1,188.657084,48,5,splacona_cz
390.11,60,kobieta,12,1320,2,13.657084,35,12,splacona_cz
249.9,26,mezczyzna,11,1600,1,7.657084,48,0,splacona_cz
429.69,57,kobieta,11,1730.13,0,197.657084,48,239,windykacja_sp
300,41,kobieta,12,1450,0,2.657084,60.985626,0,splacona
281.84,47,kobieta,12,1032,0,42.657084,52.985626,4,splacona_cz
600,74,kobieta,13,1936,0,504.657084,48,8,splacona_cz
400,64,kobieta,13,1547,0,37.657084,48,0,splacona
500,25,mezczyzna,11,2327.94,0,39.229979,48,4,splacona
348.26,39,kobieta,11,2927,7,205.657084,48,0,splacona_cz
300,61,mezczyzna,16,1865,0,336.657084,48,0,splacona
500,63,kobieta,13,1879,0,40.657084,48,1,splacona_cz
600,24,kobieta,98,5000,0,5.427105,48,4,splacona_cz
500,56,kobieta,12,1036,0,16.657084,26.985626,0,odmowa
700,69,kobieta,16,980,2,134.934292,48,7,splacona_cz
500,54,mezczyzna,11,1200,0,217.657084,48,0,splacona_cz
300,32,mezczyzna,11,2725,1,57,48,0,splacona_cz
481.74,48,mezczyzna,13,1500,3,90.394251,48,0,splacona_cz
300,60,kobieta,99,900,0,84.689938,48,0,splacona
1000,37,kobieta,11,1900,0,183.558522,48,13,splacona
300,71,kobieta,13,1257,0,132.689938,48,3,splacona_cz
300,67,mezczyzna,13,2110,2,105.689938,48,0,splacona_cz
584.54,63,mezczyzna,13,2474,1,19.558522,48,0,splacona_cz
780,48,kobieta,12,830.46,7,49.591376,48,13,splacona_cz
292.28,67,kobieta,13,1428.55,2,141.459959,48,6,splacona_cz
200,42,kobieta,11,1000,0,65.689938,48,3,splacona
500,53,mezczyzna,11,2011,2,215.689938,48,4,splacona_cz
500,52,mezczyzna,12,1400,0,24.689938,34,0,odmowa
300,31,mezczyzna,12,2100,0,4.262834,14.558522,0,splacona_cz
200,46,mezczyzna,11,2100,4,54.689938,48,0,splacona
303.13,41,mezczyzna,11,1261.98,1,40.689938,48,24,windykacja_sp
800,62,kobieta,13,5100,4,32.689938,48,0,splacona_cz
297.03,60,kobieta,13,1300,2,34.689938,48,0,splacona
500,47,mezczyzna,13,2692.96,0,2.689938,48,11,splacona
300,57,mezczyzna,11,1170,1,71.689938,48,0,splacona_cz
600,26,mezczyzna,12,1200,0,24.689938,48,0,odmowa
700,65,kobieta,13,1507,0,63.689938,48,401,windykacja
310.37,55,kobieta,11,1721.7,9,124.689938,48,13,splacona
200,69,mezczyzna,13,1162.41,3,108.722793,48,0,splacona
300,30,mezczyzna,11,1590,3,57.689938,48,2,splacona_cz
478.16,50,mezczyzna,11,2500,3,378.722793,48,2,splacona_cz
400,59,kobieta,13,1514,0,50.722793,48,0,splacona_cz
400,79,kobieta,13,1239.98,0,259.722793,48,0,splacona_cz
600,54,kobieta,16,1362,1,33.722793,48,0,splacona_cz
300,29,kobieta,12,1156,0,66.295688,48,0,odmowa
600,81,mezczyzna,13,2547,3,198.901437,48,0,splacona_cz
500,21,kobieta,12,1189,0,7.722793,26.558522,0,odmowa
300,46,kobieta,12,1294,0,5.887064,15.985626,0,splacona_cz
292.26,38,kobieta,12,2000,1,93.62423,48,3,splacona_cz
200,36,mezczyzna,99,2300,0,11.722793,12,0,odmowa
292.73,49,kobieta,11,1077.49,3,376.032854,48,0,splacona_cz
400,22,mezczyzna,12,1500,0,10.525667,11.229979,0,splacona
400,63,kobieta,13,1650,1,86.755647,48,0,splacona_cz
400,61,kobieta,13,1425,1,83.755647,48,0,splacona
600,33,kobieta,11,1331.21,8,23.755647,48,1,splacona_cz
300,54,mezczyzna,11,981,1,24.722793,48,170,windykacja_sp
500,29,kobieta,99,1300,0,75.755647,48,0,odmowa
300,54,kobieta,12,1107,0,7.755647,14.952772,0,odmowa
300,55,kobieta,17,864.6,0,6.755647,7.887064,0,splacona_cz
200,27,kobieta,12,1100,5,19.755647,29.985626,4,splacona_cz
400.91,40,kobieta,11,1239.05,1,208.755647,48,5,splacona_cz
300,68,kobieta,13,783,0,157.755647,48,0,splacona_cz
400,76,kobieta,13,1900,5,125.755647,48,0,splacona_cz
450,47,mezczyzna,11,2300,1,124.22998,48,0,splacona
389.72,53,kobieta,98,3000,5,89.755647,48,0,splacona_cz
200,54,kobieta,99,1100,6,55.901437,48,0,splacona
200,62,kobieta,13,984,4,15.164271,48,0,splacona_cz
290.83,62,kobieta,13,1090.14,8,79.755647,48,21,splacona
500,57,mezczyzna,13,1900,9,154.755647,48,0,splacona
476.83,62,mezczyzna,11,1250,0,69.755647,48,16,splacona
326.67,64,kobieta,13,1668,9,95.788501,48,2,splacona_cz
300,30,mezczyzna,11,1900,0,62.098563,48,0,splacona_cz
299.42,78,kobieta,13,1239,1,274.788501,48,2,splacona_cz
500,76,mezczyzna,13,1150,1,142.788501,48,8,splacona_cz
200,71,kobieta,13,865,9,132.098563,48,3,splacona_cz
300,66,kobieta,13,1400,2,122.788501,48,164,windykacja_sp
200,65,kobieta,13,796.09,0,60.788501,48,0,splacona_cz
300,54,kobieta,16,1740,2,118.427105,48,11,splacona
397.11,52,mezczyzna,13,4200,1,61.854209,48,0,splacona_cz
300,64,mezczyzna,11,1660,0,54.854209,48,3,splacona
300,40,kobieta,12,1323.55,0,54.657084,48,7,splacona_cz
384.3,36,mezczyzna,11,1058,4,18.755647,48,0,splacona_cz
200,27,mezczyzna,12,1100,0,37.854209,59.985626,2,splacona
300,55,kobieta,11,1686,0,102.854209,48,0,splacona_cz
299.01,53,kobieta,11,1400,5,165.854209,48,2,splacona_cz
200,28,mezczyzna,17,728,9,104.854209,48,396,windykacja
200,21,mezczyzna,17,985,0,17.854209,20.722793,0,splacona_cz
500,37,mezczyzna,12,2000,1,37.361396,71.492813,0,splacona
300,25,mezczyzna,12,1075,0,4.854209,23,0,odmowa
200,57,mezczyzna,12,1600,0,38.967146,60.065708,0,splacona_cz
200,66,mezczyzna,13,1611,1,145.854209,48,3,splacona
300,80,kobieta,13,1167.94,4,373.854209,48,1,splacona_cz
500,52,kobieta,11,1700,8,310.164271,48,8,splacona_cz
300,71,kobieta,13,1389,1,72.887064,48,0,splacona_cz
784.54,56,kobieta,12,1350,2,26.887064,27.032854,395,windykacja
300,34,kobieta,12,2139,0,97.525667,48,0,splacona
300,58,kobieta,11,1680,8,389.887064,48,1,splacona_cz
500,50,kobieta,11,1800,9,57.62423,48,0,splacona_cz
200,38,kobieta,12,599.03,0,23.887064,24.985626,7,splacona_cz
200,21,kobieta,12,1394,0,2.887064,23.952772,0,splacona_cz
400,67,kobieta,13,850,8,71.657084,48,0,splacona_cz
200,54,mezczyzna,11,2094.17,5,245.394251,48,0,splacona_cz
1000,70,kobieta,13,2291,5,75.459959,48,0,splacona
300,71,mezczyzna,13,1642.87,3,73.919918,48,1,splacona_cz
500,71,kobieta,13,1200,8,123.657084,48,7,splacona_cz
200,71,kobieta,13,1200,2,123.657084,48,7,splacona_cz
300,46,kobieta,11,3000,3,97.919918,48,0,splacona_cz
300,23,kobieta,12,1500,8,8.919918,18,0,splacona_cz
203.42,30,mezczyzna,11,1888.27,3,81.821355,48,3,splacona_cz
200,57,kobieta,98,980,8,14.394251,48,0,splacona
300,39,mezczyzna,12,1400,0,0.919918,2.952772,0,splacona_cz
300,55,kobieta,11,1756,1,3.394251,48,0,splacona
700,58,kobieta,11,2698,0,31.919918,48,0,odmowa
200,66,kobieta,13,974,1,205.919918,48,0,splacona
300,72,mezczyzna,13,1426,9,81.919918,48,0,splacona_cz
300,64,kobieta,13,1100,6,109.919918,48,0,splacona_cz
200,76,kobieta,13,965,8,249.919918,48,0,splacona_cz
1000,55,kobieta,11,1136,0,8.919918,48,0,odmowa
200,63,kobieta,13,3700,9,31.525667,48,0,splacona_cz
453.84,45,kobieta,11,2245.01,3,149.934292,48,3,splacona_cz
350,74,kobieta,11,1348.95,1,118.427105,48,1,splacona_cz
500,22,kobieta,17,803.54,0,6.755647,12.821355,0,odmowa
600,64,kobieta,13,1233,2,128,48,2,splacona_cz
200,76,kobieta,13,1647,0,262,48,0,splacona
200,54,kobieta,16,749.28,9,70,48,0,splacona_cz
650,25,mezczyzna,11,2000,0,41.507187,48,393,windykacja
237.11,55,kobieta,12,2200,2,7.638604,11.591376,0,splacona
400,66,mezczyzna,16,1473.04,6,170,48,3,splacona_cz
1000,42,mezczyzna,11,2810,0,72,48,0,odmowa
376.24,60,kobieta,13,1400,2,51,48,188,windykacja_sp
637.66,64,kobieta,13,860,3,84.704312,48,10,splacona_cz
200,37,kobieta,11,1350,0,31.032854,48,1,splacona_cz
300,47,kobieta,98,911,9,103.032854,48,0,splacona
500,75,kobieta,13,1060,0,252.032854,48,0,splacona_cz
200,59,kobieta,16,634,8,56,48,0,splacona_cz
300,66,kobieta,13,802.83,3,206.032854,48,0,splacona_cz
200,56,kobieta,11,2800,4,14.032854,48,0,splacona_cz
277.26,65,kobieta,13,1582.15,1,110.032854,48,0,splacona_cz
500,30,kobieta,12,1447,9,26.112936,35.967146,1,splacona_cz
2000,73,mezczyzna,13,2612,1,86.342916,48,8,splacona_cz
500,62,kobieta,13,1170,0,83.032854,48,0,splacona_cz
600,62,mezczyzna,16,837,1,236.032854,48,3,splacona_cz
700,59,kobieta,13,1872,9,39.572895,48,4,splacona_cz
688.47,50,kobieta,11,2800,1,323.178645,48,4,splacona_cz
400,51,kobieta,12,1000,9,37.032854,37.985626,0,splacona_cz
400,61,mezczyzna,12,1000,9,17.032854,26.689938,0,splacona_cz
500,51,mezczyzna,12,3000,0,58,48,391,windykacja
830,60,kobieta,13,1400,4,251.032854,48,11,splacona_cz
200,34,mezczyzna,12,1050,0,71.032854,48,0,odmowa
500,51,kobieta,17,990,5,77.032854,48,1,splacona_cz
500,54,mezczyzna,11,2080,3,323.032854,48,1,splacona_cz
400,55,kobieta,11,1840,0,360.704312,48,0,splacona_cz
400,26,kobieta,17,1200,1,169.671458,48,4,splacona_cz
300,74,mezczyzna,13,1072,0,134.065708,48,0,odmowa
222.73,51,mezczyzna,16,1045,8,204.131417,48,1,splacona_cz
200,53,kobieta,11,1100,0,26.145791,48,0,odmowa
292.26,64,kobieta,13,1014,3,187.737166,48,8,splacona_cz
200,63,mezczyzna,13,1162,9,226.032854,48,1,splacona_cz
200,58,kobieta,99,780,5,6,12.328542,0,splacona_cz
800,69,kobieta,13,2120,4,123.802875,48,30,windykacja_sp
670.68,59,kobieta,13,1801.41,0,42.178645,48,14,splacona
200,61,kobieta,13,1635,9,124.704312,48,0,splacona_cz
500,37,mezczyzna,11,3898,4,185.704312,48,8,splacona_cz
564.48,62,mezczyzna,13,1500,0,28.131417,48,224,windykacja_sp
800,56,kobieta,13,3440,9,56.131417,48,0,splacona_cz
2000,58,mezczyzna,98,20000,0,135.131417,48,12,splacona_cz
700,34,kobieta,11,1540,0,43.934292,48,0,splacona_cz
700,38,kobieta,11,3178.76,4,126.131417,48,12,splacona
700,33,kobieta,11,3100,4,126.131417,48,12,splacona
800,50,kobieta,11,1764,3,69.032854,48,6,splacona_cz
400,26,mezczyzna,11,2800,0,23.310062,48,0,odmowa
200,59,mezczyzna,12,1873,0,1.835729,14.689938,0,odmowa
249.3,58,kobieta,16,2100,4,43.474333,48,6,splacona_cz
257.27,55,mezczyzna,11,2100,6,42.572895,48,2,splacona_cz
900,66,mezczyzna,13,3040,1,206.065708,48,0,splacona
700,57,mezczyzna,13,1553,0,114,48,0,splacona_cz
800,71,kobieta,13,1997,0,128.164271,48,0,odmowa
300,76,mezczyzna,13,734.09,0,146.164271,48,0,odmowa
349.66,65,mezczyzna,13,1601.87,5,50.164271,48,1,splacona_cz
400,75,kobieta,13,1536,0,40.868583,48,5,splacona_cz
600,29,kobieta,11,1970,0,58.164271,48,0,odmowa
300,62,mezczyzna,13,1327.87,0,26.164271,48,0,odmowa
600,51,mezczyzna,16,2150,1,86.164271,48,388,windykacja
600,28,kobieta,11,2100,0,27.342916,48,0,splacona_cz
1000,81,kobieta,13,2090,1,250.098563,48,0,splacona_cz
200,56,kobieta,11,1170,0,150.197125,48,0,odmowa
300,38,mezczyzna,99,1500,0,3.197125,10.985626,0,splacona_cz
1000,58,kobieta,13,1530,2,29.671458,48,4,splacona_cz
500,63,kobieta,16,2084.79,0,146.197125,48,0,splacona_cz
400,61,kobieta,13,1107,3,19.770021,48,0,splacona_cz
1000,42,kobieta,98,6000,5,22.197125,48,0,splacona_cz
289.69,69,kobieta,13,1017,2,166.197125,48,0,splacona_cz
400,67,kobieta,13,1137.19,1,101.197125,48,4,splacona_cz
390.85,59,kobieta,16,1589,2,31.802875,48,0,splacona_cz
234.84,60,kobieta,13,1000,1,62.098563,48,0,splacona_cz
200,54,kobieta,12,1200,0,2.605749,3.032854,0,odmowa
200,59,mezczyzna,11,1130,0,175.197125,48,0,odmowa
500,24,mezczyzna,11,1800,1,14.131417,48,24,splacona
400,57,kobieta,11,1187.06,2,138.197125,48,0,splacona
500,27,kobieta,11,2300,0,27.197125,48,0,splacona
700,27,mezczyzna,12,1656,0,4.164271,26.952772,0,odmowa
300,69,kobieta,13,1027,5,197.22998,48,0,splacona_cz
200,66,mezczyzna,13,1559,0,76.229979,48,0,splacona_cz
600,73,kobieta,13,448,0,122.22998,48,0,odmowa
261.28,39,kobieta,98,1200,9,50.704312,48,4,splacona_cz
200,57,kobieta,99,670,1,133.22998,48,0,splacona_cz
342.26,74,kobieta,13,1412,3,209.032854,48,0,splacona_cz
600,78,mezczyzna,13,2609,1,195.967146,48,0,splacona_cz
900,59,kobieta,17,684,9,194.671458,48,3,splacona_cz
200,32,kobieta,12,1865,6,25,34.722793,0,splacona_cz
500,48,kobieta,11,1700,1,94.098563,48,3,splacona_cz
200,22,kobieta,99,960,0,1.441478,5.164271,0,splacona
500,61,mezczyzna,16,1398,0,398.262834,48,13,splacona_cz
400,74,kobieta,13,1140,1,242.262834,48,0,splacona_cz
500,44,kobieta,11,1966,0,83.770021,48,0,splacona
1000,66,kobieta,13,930,3,135.737166,48,0,splacona_cz
300,71,kobieta,13,1000,6,69.262834,48,0,splacona_cz
500,54,mezczyzna,11,1320,9,347.262834,48,2,splacona_cz
200,66,mezczyzna,13,1217,0,55.704312,48,0,splacona
300,36,kobieta,12,1300,1,4.262834,7.952772,0,splacona_cz
300,41,kobieta,11,1100,0,62.262834,48,0,splacona_cz
600,55,kobieta,11,1300,0,73.065708,48,6,splacona_cz
400,56,mezczyzna,11,1460.17,6,66.032854,48,2,splacona_cz
597.15,48,mezczyzna,12,600,10,14.131417,27.131417,0,splacona_cz
453.23,32,mezczyzna,11,2700,8,20.197125,48,7,splacona_cz
265.58,63,kobieta,13,1189,9,74.572895,48,0,splacona_cz
500,44,kobieta,11,1738.57,2,62.262834,48,0,splacona_cz
200,55,kobieta,16,1045.6,10,17.262834,48,0,splacona
200,62,kobieta,13,997,9,84.262834,48,0,splacona
200,44,mezczyzna,11,2284.23,4,304.310062,48,2,splacona_cz
292.26,67,kobieta,16,957,1,205.262834,48,3,splacona_cz
600,73,kobieta,13,640,3,143.37577,48,0,splacona_cz
628.76,64,kobieta,13,3251,3,143.164271,48,0,splacona_cz
800,61,mezczyzna,11,1200,0,134.262834,48,0,splacona_cz
500,59,kobieta,13,1883.53,0,52.098563,48,0,splacona_cz
561.8,66,kobieta,16,892,3,205.835729,48,1,splacona
800,19,mezczyzna,11,1800,0,4.868583,48,0,odmowa
298.97,64,kobieta,16,1389,4,96.295688,48,1,splacona_cz
200,61,kobieta,13,917,1,82.361396,48,0,splacona_cz
350,71,kobieta,13,729.03,10,262.361396,48,0,splacona_cz
300,40,kobieta,12,1027,9,13.37577,59.967146,0,splacona_cz
260.06,64,kobieta,13,930,6,98.934292,48,0,splacona_cz
500,57,kobieta,16,1600,0,120.361396,48,0,odmowa
500,55,mezczyzna,98,2000,0,267.361396,48,0,odmowa
500,60,kobieta,13,1658,0,34.361396,48,0,splacona_cz
300,38,kobieta,12,1382,3,26.361396,35.985626,0,splacona_cz
200,70,kobieta,16,959.6,9,120.361396,48,5,splacona_cz
400,61,kobieta,13,1500,5,65.361396,48,0,splacona_cz
804.82,63,mezczyzna,13,2474,4,20.229979,48,0,splacona_cz
500,45,mezczyzna,12,1952.35,2,9.361396,11.985626,10,splacona
300,49,kobieta,11,980,0,204.934292,48,0,splacona_cz
1000,21,mezczyzna,11,1755,0,4.361396,48,0,odmowa
200,34,mezczyzna,11,1800,9,170.361396,48,0,splacona_cz
1000,27,mezczyzna,98,4300,0,16.737166,48,0,odmowa
300,27,mezczyzna,12,1100,1,9.361396,48.952772,8,splacona
254.38,58,kobieta,16,634.64,8,141.361396,48,0,splacona_cz
300,64,mezczyzna,12,1231,1,3.361396,7,0,splacona_cz
700,55,kobieta,11,1500,0,115.361396,48,0,splacona
500,46,mezczyzna,11,2600,0,7.328542,48,1,splacona_cz
300,45,kobieta,99,1241,0,7.328542,7.952772,0,odmowa
1000,27,mezczyzna,98,2900,0,16.737166,48,0,odmowa
200,32,mezczyzna,11,2000,3,10.098563,48,0,splacona
623.79,42,kobieta,98,5000,4,89.394251,48,11,splacona
400,63,mezczyzna,15,1100.79,0,95.394251,48,0,splacona_cz
200,68,mezczyzna,16,1600,0,16.901437,48,0,splacona_cz
202.28,61,mezczyzna,11,3000,10,217.394251,48,0,splacona_cz
200,73,kobieta,13,730,8,565.835729,48,0,splacona_cz
200,52,mezczyzna,12,1188,0,14.394251,18.394251,0,splacona
300,43,kobieta,11,1286.16,2,122.328542,48,0,splacona_cz
600,51,kobieta,11,4900,0,16.394251,48,0,splacona
700,43,mezczyzna,98,3014,0,107.394251,48,0,splacona_cz
300,36,mezczyzna,99,750,1,2.394251,7.394251,0,splacona_cz
200,32,kobieta,12,980,9,15.394251,16.262834,4,splacona_cz
500,42,kobieta,11,2824,1,106.394251,48,5,splacona_cz
700,62,kobieta,13,2066,9,134.427105,48,0,splacona_cz
300,61,kobieta,13,810,10,38.098563,48,0,splacona_cz
300,36,kobieta,12,1200,9,14,14.558522,0,splacona_cz
300,55,kobieta,12,111.86,0,1.770021,23.328542,3,splacona_cz
315.12,74,mezczyzna,13,960,9,145,48,0,splacona_cz
342.55,72,mezczyzna,13,562,5,86.427105,48,5,splacona_cz
200,21,mezczyzna,17,985,1,18.427105,20.722793,0,splacona_cz
200,49,mezczyzna,12,1100,0,10.474333,12,1,splacona_cz
300,55,kobieta,16,1500,4,6.835729,48,0,splacona_cz
200,32,kobieta,99,526,0,0,2.032854,0,odmowa
200,33,kobieta,12,1250,0,7.605749,23.967146,0,splacona
400,59,kobieta,11,1500,8,90.427105,48,3,splacona_cz
996,48,mezczyzna,11,2500,5,209.032854,48,380,windykacja
202.87,66,kobieta,13,1350,8,116.262834,48,0,splacona_cz
594.54,63,kobieta,13,3700,1,32.032854,48,0,splacona_cz
300,34,kobieta,12,1100,0,1.427105,58.985626,0,odmowa
352.7,55,kobieta,12,1000,3,50.164271,48,0,splacona
500,54,kobieta,11,1700,1,210.427105,48,0,splacona_cz
400,61,kobieta,16,1411,6,71.427105,48,3,splacona_cz
500,76,kobieta,13,1248,3,255.459959,48,2,splacona_cz
200,22,mezczyzna,12,1300,0,2.459959,35.985626,0,splacona
400,41,kobieta,12,1450,0,3.459959,60.985626,0,splacona
1500,58,mezczyzna,98,3000,2,74.131417,48,13,splacona_cz
1000,68,kobieta,13,926,0,132.459959,48,0,odmowa
500,65,mezczyzna,13,1530,0,40.164271,48,5,splacona_cz
300,42,kobieta,12,1344,0,6.459959,9.952772,379,windykacja
500,64,kobieta,16,1340,0,166.427105,48,0,splacona
300,45,kobieta,11,1375,0,206.60575,48,0,odmowa
350,55,kobieta,12,1700,10,59.934292,48,0,splacona_cz
297.26,34,kobieta,11,1380,1,31.459959,48,2,splacona_cz
599.54,46,mezczyzna,12,3500,4,191.704312,48,0,splacona_cz
400,72,mezczyzna,13,1097,0,84.492813,48,0,splacona_cz
200,57,kobieta,15,678,1,145.492813,48,0,splacona_cz
200,66,mezczyzna,13,1181,0,120.492813,48,7,splacona_cz
500,48,mezczyzna,13,864.34,4,161.492813,48,3,splacona_cz
400,58,mezczyzna,11,2100,0,35.065708,48,0,odmowa
200,34,kobieta,12,868,0,1.492813,2.952772,0,odmowa
300,62,kobieta,13,992.96,1,17.032854,48,0,splacona_cz
300,60,kobieta,13,1098,1,61.492813,48,2,splacona_cz
400,50,kobieta,12,976,0,2.459959,2.952772,0,splacona
426.56,31,mezczyzna,11,2700,0,69.492813,48,14,splacona
200,46,mezczyzna,99,1416,0,2.492813,2.985626,0,splacona
400,57,mezczyzna,11,1842.86,8,12.704312,48,1,splacona_cz
265.33,53,kobieta,11,1050,8,38.507187,48,1,splacona
500,37,mezczyzna,11,2800,0,160.492813,48,0,splacona
300,57,kobieta,11,1800,2,116.540041,48,0,splacona_cz
450,20,mezczyzna,12,754,0,0.802875,2.967146,0,odmowa
200,58,kobieta,13,611,8,144.22998,48,1,splacona_cz
437.11,61,kobieta,13,1000,9,73.065708,48,2,splacona_cz
200,63,kobieta,13,1130,1,108.525667,48,0,splacona_cz
400,21,mezczyzna,11,1411,0,1.525667,48,0,odmowa
400,27,mezczyzna,11,2151,0,44.525667,48,1,splacona
200,59,mezczyzna,12,1150,0,0.427105,0.887064,1,splacona
500,43,mezczyzna,11,1800,0,8.868583,48,0,odmowa
400,61,kobieta,13,1087.72,0,6.262834,48,1,splacona
200,28,mezczyzna,12,1400,4,5.967146,17.37577,0,splacona
300,55,kobieta,11,1400,0,121.967146,48,0,splacona_cz
484.54,63,kobieta,13,714,3,227.591376,48,0,splacona_cz
293.13,50,mezczyzna,13,3900,10,35.591376,48,0,splacona
200,52,mezczyzna,12,1188,0,14.591376,18.394251,2,splacona_cz
550,55,kobieta,12,1675,9,14.591376,14.985626,6,splacona_cz
731.95,68,kobieta,13,1431,2,252.262834,48,1,splacona_cz
400,61,mezczyzna,16,1865,0,337.591376,48,2,splacona_cz
300,71,kobieta,13,729.03,3,262.591376,48,1,splacona_cz
300,54,mezczyzna,11,1300,0,457.328542,48,0,splacona_cz
700,41,kobieta,12,1046.99,0,42.361396,63.755647,0,odmowa
450,69,kobieta,13,1019,2,137.737166,48,6,splacona_cz
400,45,mezczyzna,11,3300,3,241.901437,48,0,splacona_cz
200,30,mezczyzna,12,1364,0,23.591376,59.985626,0,odmowa
407.59,65,mezczyzna,11,2600,1,140.591376,48,0,splacona_cz
300,76,kobieta,13,821.35,1,251.591376,48,2,splacona_cz
900,48,kobieta,11,5800,9,59.591376,48,2,splacona_cz
480.2,48,mezczyzna,13,1500,4,91.328542,48,0,splacona_cz
200,73,kobieta,13,785,6,69.62423,48,0,splacona_cz
200,69,mezczyzna,13,1103,0,48.62423,48,0,splacona_cz
400,69,mezczyzna,13,1689.98,0,86.62423,48,0,splacona
500,41,kobieta,11,2505,0,169.032854,48,1,splacona_cz
537.15,63,kobieta,13,962,5,70.62423,48,1,splacona_cz
500,26,mezczyzna,11,2259,0,76.459959,48,6,splacona_cz
300,49,kobieta,12,1700,0,5.558522,38.919918,2,splacona
